,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
98," Neeraj Kabi
",https://www.imdb.com/name/nm4173131,"
    Neeraj is a multiple award winning film and theater actor, best known for his powerful performances in Ship of Theseus and Talvar. He won the Best Actor Awards at the Sakhalin International Film Festival in 2014 and the NBC Newsmakers Achievers' Awards in 2015. Neeraj is the owner of the renowned theater group Pravah, which he founded in 1996. ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BZTJlZWZiMmUtNTQ0MS00NzliLWI3YjAtNzhiNjVhNWQ2MDExXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",,,,,,,,
99," Navin Nischol
",https://www.imdb.com/name/nm0632615,"
    Navin Nischol was born on March 18, 1946 in Lahore, Punjab, British India. He was an actor, known for Zorro (1975), Khosla Ka Ghosla! (2006) and Dhund (1973). He was married to Geetanjali Nischol. He died on March 19, 2011 in Mumbai, Maharashtra, India.            
See full bio »
            
","
March 18, 
     
1946","https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Starred in the shelved film Vasundhara Arts ""Gumnaam Saaya""(1977). Starring Raaj Kumar,Navin Nischol,Vidya Sinha, Prema Narayan,Imtiaz Khan, Devan Verma, Music by Kalyanji Anandji,Directed by Suraj Prakash.                    
See more

                    »
        ",,,,"

            Naveen Nischal | Navin Nischal | navin Nischal | Navin Nishcal | Navin Nishchal | Navin Nishchol
        "
100," Nafisa Ali
",https://www.imdb.com/name/nm0019465,"
    Nafisa Ali is an actress, known for Life in a Metro (2007), Big B (2007) and Godfather: The Legend Continues (2007).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BNDBkYTI0OWMtNmMzOC00MDc5LTgwNGEtZTQ1MGQ2MWViNjAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",,,,"

    Was involved with Mazhar Khan in the 1980's.                    
See more

                    »
        ",,,"

5' 6"" (1.68 m)        ",
101," Om Puri
",https://www.imdb.com/name/nm0700875,"
    Om Puri was an Indian actor who has appeared in both mainstream Indian films and art films. His credits also include appearances in British and American films. He has received an honorary OBE. Puri was born in Ambala, Haryana. His father worked on the railways and served in the Indian Army. Puri graduated from the Film and Television Institute of ...            
See full bio »
            
","
October 18, 
     
1950","https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_UY317_CR8,0,214,317_AL__QL50.jpg","

    TV Commercial for J.K. Lakshmi Cement                    
See more

                    »
        ",,"

Libra
","

    His father wanted Om Puri to have an arranged marriage to his costar of Shrant, Geeta Khanna. Om Puri refused.                    
See more

                    »
        ",,"

    Amitabh Bachchan is a great actor and I am thankful that he refused Ardh Satya        ","

5' 7"" (1.7 m)        ","

            Ompuri | OM Puri
        "
102," Om Prakash
",https://www.imdb.com/name/nm0695170,"
    Om Prakash was born on December 19, 1919 in Lahore, Punjab, British India as Om Prakash Bakshi. He was an actor and director, known for Dus Lakh (1966), Namak Halaal (1982) and Pyar Kiye Jaa (1966). He died on February 12, 1998 in Mumbai, Maharashtra, India.            
See full bio »
            
","
December 19, 
     
1919","https://m.media-amazon.com/images/M/MV5BMWE3OTM3ODMtZGIzZC00YjU3LWIyZmItOGYxNDA3Mzg4NTk3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    Brother of director , actor Pachchi. (International Crook).        ",,,,"

            Omprakash | Om | Om Parkash
        "
103," Pankaj Tripathi
",https://www.imdb.com/name/nm2690647,"
    Pankaj Tripathi is an actor, known for Gangs of Wasseypur (2012), Stree (2018) and Newton (2017).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,,,"

    Worked in a hotel in Patna where Manoj Bajpai stayed during a shoot.He met him the next day and later realized has forgotten his slippers.Pankaj Tripathi kept the slippers for himself as a memory from his senior actor.                    
See more

                    »
        ",,,"

5' 7½"" (1.71 m)        ","

            Pankaj Tripathy
        "
104," Pran
",https://www.imdb.com/name/nm0695199,"
    Pran was one of the leading character actors of Indian cinema. He was born on 12 February,1920 at Delhi. Pran was educated at different places namely Kapurthala, Unnao, Meerut, Dehradun and Rampur as his father late Lala Kewal Krishnan Sikand was a Government Civil Contractor for the construction of roads and bridges. Pran started his career by ...            
See full bio »
            
","
February 12, 
     
1920","https://m.media-amazon.com/images/M/MV5BMTQ1MDc2Mjc2OF5BMl5BanBnXkFtZTcwMTc1MDU4OQ@@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,,"

Aquarius
","

    Pran was very fond of watching cricket and was close friends with former West Indies captain Sir Frank Worrell.                    
See more

                    »
        ",,,"

5' 7"" (1.7 m)        ","

            Pran Krishna
        "
105," Paresh Rawal
",https://www.imdb.com/name/nm0712546,"
    Paresh Rawal was born on May 30, 1950 in Bombay, State of Bombay, India. He is a producer and actor, known for Hera Pheri (2000), OMG: Oh My God! (2012) and Hungama (2003). He is married to Swaroop Sampat. They have two children.            
See full bio »
            
","
May 30, 
     
1950","https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY317_CR133,0,214,317_AL__QL50.jpg",,,"

Gemini
","

    Son in law of Gujarati theatre actor Bachu Sampat.                    
See more

                    »
        ",,,"

5' 8"" (1.73 m)        ","

            Paresh Raval | Paresssh Rawal/Paresh Rawwwal
        "
106," Priyanka Chopra
",https://www.imdb.com/name/nm1231899,"
    Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt. Dr. Ashok Chopra and Dr. Madhu Chopra, both Indian Army physicians. She had a very varied upbringing. She started her education at La Martinière Girls College in Lucknow as a resident student; a short stay at Maria Goretti College in Bareilly ...            
See full bio »
            
","
July 18, 
     
1982","https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY317_CR105,0,214,317_AL__QL50.jpg","

    TV commercial, ""I Will NEVER Wash My Hair Again,"" for new Pantene Pro-V Dreamcare Shampoo.                    
See more

                    »
        ","

            Pri
        ","

Cancer
","

    Winner of the Miss India and Miss World beauty pageants in 2000.                    
See more

                    »
        ","

    Curvy body                    
See more

                    »
        ","

    When I became Miss World, I couldn't believe I had won it. I used to sleep with my crown because I was scared someone would steal it. In a minute the world changed for me. (July 2007)                    
See more

                    »
        ","

5' 5"" (1.65 m)        ","

            Priyanka Chopra-Jonas | Priyanka Chopra Jonas
        "
107," Prakash Raj
",https://www.imdb.com/name/nm0695177,"
    Prakash Raj was born on March 26, 1965 in Bangalore, Mysore State, India as Prakash Rai. He is an actor and producer, known for Anniyan (2005), Kalki (1996) and Un Samayal Arayil (2014).            
See full bio »
            
","
March 26, 
     
1965","https://m.media-amazon.com/images/M/MV5BMjQ2MjA4NjU0MF5BMl5BanBnXkFtZTgwMTgwMDMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Aries
","

    Ex wife actress Lalita Kumari is the sister of actress Disco Shanti.        ",,,"

5' 7½"" (1.71 m)        ","

            Prakashraj | Prakash Raaj | Prakash Rai
        "
108," Prabhas
",https://www.imdb.com/name/nm1659141,"
    Prabhas was born to late U. Suryanarayana Raju and Siva Kumari. His family is from Mogalturu village and later moved to bhimavaram in West Godavari district, Andhra Pradesh. He is the youngest of three children, with an elder brother Pramod Uppalapati and sister Pragathi. He is the nephew of Telugu actor Uppalapati Krishnam Raju            
See full bio »
            
","
October 23, 
     
1979","https://m.media-amazon.com/images/M/MV5BMjliZmI3YmMtYWU1NS00MjVlLTkxZTQtYjIzYzFkNWNjOTZkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,"

            Darling
                
See more

                »
        ","

Scorpio
","

    Son of film producer Suryanarayana Raju U..        ","

    Height        ",,"

6' (1.83 m)        ",
109," Pankaj Kapur
",https://www.imdb.com/name/nm0438488,"
    Pankaj Kapur the acclaimed film, television and stage actor signified the young crop of great actors of which Om Puri, Naseeruddin Shah and Ifran Khan formed a part. Unlike his other counterparts Kapur hasn't broken the vow to work only in good Art and Independent projects. A perfect actor Pankaj Kapur did his engineering from New Delhi topping ...            
See full bio »
            
","
May 29, 
     
1954","https://m.media-amazon.com/images/M/MV5BZTY2NjI0ZjYtMDM2My00ZjE1LWFiNmQtYWI3OGY2NDgwNTE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",,,"

Gemini
","

    Father of Shahid Kapoor from his first marriage to Neelima Azim. Second son is Ruhaan Kapoor from second wife Supriya Pathak.                    
See more

                    »
        ",,,,"

            Pankaj Kapoor
        "
110," Prabhu Deva
",https://www.imdb.com/name/nm0222150,"
    Prabhu Deva was born as Prabhu Sundaram. He is known for his work on Lakshya (2004), Wanted (2009) and Dabangg 3 (2019). He was previously married to Ramlath.            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMTY4MzAyODE3NV5BMl5BanBnXkFtZTcwMjM3Mjc4OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","

    Director of TV Commercial for Tiger Biscuits.        ",,,,,,"

5' 7½"" (1.71 m)        ","

            Pradbhu Dheva | Prabhudeva | Prabhudheva | Prabhu | Prabudheva | Prabu
        "
111," Prem Chopra
",https://www.imdb.com/name/nm0159159,"
    Prem Chopra is an actor in Hindi and Punjabi films. Prem Chopra was born to a Hindu Punjabi family in Lahore on 23 September 1935 to Ranbirlal and Rooprani Chopra. He was third of six children.His father worked at the attorney-general's office. He was brought up in Shimla. His father wanted him to be a IAS officer but Chopra pursued performing ...            
See full bio »
            
","
September 23, 
     
1935","https://m.media-amazon.com/images/M/MV5BM2U2OTEzM2UtMjhlNC00NTYxLWI5MDItM2RjYzNhYmNhYWFmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",,,"

Libra
","

    Prem has since 1966 been a leading villain in Hindi films and his peak period as main villain in Hindi films was from 1967-1994. In 70's he got plum roles as a villain often with Sujith Kumar and Ranjeet.                    
See more

                    »
        ",,,"

6' 2"" (1.88 m)        ","

            Premchopra
        "
112," Pooja Bhatt
",https://www.imdb.com/name/nm0080324,"
    Pooja was born on February 24, 1972 in the Gujarati-speaking Bhatt family. Her dad's name is Mahesh, and her mom's maiden name was Loraine Bright. After the marriage, her mother changed her name to Kiran Bhatt. Mahesh separated from Loraine and re-married Soni Razdan, an actress in her own right. The Bhatts live in Bandra, Bombay. She has two ...            
See full bio »
            
","
February 24, 
     
1972","https://m.media-amazon.com/images/M/MV5BNTkxOTIwNzYxMl5BMl5BanBnXkFtZTgwMDE5OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,"

            Bhoot Bhatt
        ","

Pisces
","

    Starred in Mukesh Bhatt's shelved film ""Mere Apne"" (1994). Starring Akshay Kumar (Replaced Kamal Sadanah), Pooja Bhatt (Replaced Zeba Bhaktiar). directed by Mahesh Bhatt. It was later made as ""Angaaray"".                    
See more

                    »
        ",,,"

5' 1"" (1.55 m)        ","

            Pooja Munish Makhija | Poojabhatt | Pooja Udham Singh
        "
113," Pavan Malhotra
",https://www.imdb.com/name/nm0539497,"
    Pavan Malhotra was born on July 2, 1958 in Delhi, India. He is an actor, known for Bhaag milkha bhaag (2013), Don (2006) and Black Friday (2004). He is married to Aparnaa Malhotra.            
See full bio »
            
","
July 2, 
     
1958","https://m.media-amazon.com/images/M/MV5BNDlkYzllMDktZDk5OC00NWM5LTgzM2ItMmYxYTM4ZmMwODQ4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    Fomerly married to TV Host, actress, director Aparajita Krishna. She was in Shyam Benegal's Discover India.                    
See more

                    »
        ",,,"

5' 6"" (1.68 m)        ","

            Pavan Raj Malhotra | Pawan Malhotra | Pavan Mallhotra
        "
114," Piyush Mishra
",https://www.imdb.com/name/nm0592795,"
    Piyush Mishra, is an Indian film actor, music director ,lyricist, singer, script and dialogue writer, and a well known theatre director and Hindi playwright. He spent his early life in Gwalior, where he received his education. Theater and television After his graduation from National School of Drama (NSD), New Delhi in 1986, Piyush Mishra started ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMDc5MGFlZTMtMmQ1Zi00YjkxLWE3ZGItZGNkNTExYjJhNGFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR13,0,214,317_AL__QL50.jpg",,,,"

    Was considered for Salman Khan's role in Maine Pyar Kiya.        ",,,,
115," Prashant Narayanan
",https://www.imdb.com/name/nm1241910,"
    Prashant Narayanan is an actor and assistant director, known for Fredrick (2016), Schatten der Zeit (2004) and Waisa Bhi Hota Hai Part II (2003).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BNjFlYjBjY2ItMGIxMi00ZTAzLThhMmEtM2M2NDk0OWViYmFlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR14,0,214,317_AL__QL50.jpg",,,,"

    Was married to actress Preeti Narayanan in the late 90's.                    
See more

                    »
        ",,,,"

            Prashant Narayannan | Prroshant Narayannan | Prroshant Naroyannan
        "
116," Rahul Dev
",https://www.imdb.com/name/nm0222144,"
    Rahul Dev was born as Rahul Dev Kaushal. He is an actor, known for Champion (2000), Footpath (2003) and Asoka (2001).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BZjQxMTRhNzktZmM4OS00ZmZlLTkxYzYtMmI1ZWMzNTFmMTdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",,,,"

    Starred in the shelved film ""EK"" directed by Rahul Anand (Mukul Anand's brother). This was in 2000.                    
See more

                    »
        ",,,,
117," Rahul Bose
",https://www.imdb.com/name/nm0097893,"
    Rahul Bose was born on July 27, 1967 in India. He is an actor and writer, known for Everybody Says I'm Fine! (2001), Split Wide Open (1999) and Poorna (2017).            
See full bio »
            
","
July 27, 
     
1967","https://m.media-amazon.com/images/M/MV5BMjE2MjY2ODY4N15BMl5BanBnXkFtZTgwNDcwMTE0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Leo
","

    Formerly an advertising copywriter, working for the Rediffusion advertising agency in Mumbai (Bombay).                    
See more

                    »
        ",,,"

5' 6"" (1.68 m)        ",
118," Rekha
",https://www.imdb.com/name/nm0004334,"
    Bhanurekha was born in the Tamil-speaking Ganesan household on October 10, 1954. Her dad was the popular Tamil actor, Gemini, while her mom was a popular Telugu actress, Pushpavalli. She has seven sisters and one brother. One of her sisters is Dr. Kamala Selvaraj, while another one, Radha, lives in San Francisco with a son named Naveed, who is ...            
See full bio »
            
","
October 10, 
     
1954","https://m.media-amazon.com/images/M/MV5BNjU2MDU4NzI5OF5BMl5BanBnXkFtZTcwNjQ4Njg5Nw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,"

            The Bollywood Queen
                
See more

                »
        ","

Libra
","

    Has gained icon status in Bollywood cinema for her four decade career in the industry.                    
See more

                    »
        ","

    She has mesmeric eyes that she uses with devastating effect                    
See more

                    »
        ","

    Now people might think that I am not married and I have no children, the conventional lifestyle you know, but I see it this way: as long as you are alive, you have a chance to have a future. At least there is hope.                    
See more

                    »
        ","

5' 5¼"" (1.65 m)        ","

            Baby Bhanurekha | Bhanurekha
        "
119," Ratna Pathak Shah
",https://www.imdb.com/name/nm0665550,"
    Ratna Pathak Shah was born on March 18, 1963 in Bombay, Maharashtra, India. She is an actress, known for Jaane Tu... Ya Jaane Na (2008), Kapoor & Sons (2016) and Lipstick Under My Burkha (2016). She has been married to Naseeruddin Shah since April 1, 1982. They have three children.            
See full bio »
            
","
March 18, 
     
1963","https://m.media-amazon.com/images/M/MV5BMjQwMzc5NDQ0NF5BMl5BanBnXkFtZTgwNDg1ODA0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Mother of Imaaduddin Shah 
See more

                    »
        ",,,,"

            Ratna Pathak
        "
120," Rajendra Kumar
",https://www.imdb.com/name/nm0006348,"
    Rajendra was born in the Punjabi-speaking Tuli family on July 12, 1929, in Sialkot, British India (now located in Pakistan). After the turbulent years of partition, at the age of 21, Rajendra got his first break in 'Jogan' during 1950. He attained fame in 'Mother India' during 1957, playing the son of Nargis Dutt. He went on to star in many movies, ...            
See full bio »
            
","
July 20, 
     
1929","https://m.media-amazon.com/images/M/MV5BMTYwY2Y5ZWUtOGMxZC00ZDZlLWEzNGUtYmJkMGU3YTNhNWE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR26,0,214,317_AL__QL50.jpg",,"

            Jubilee Kumar
        ","

Cancer
","

    He was cast in Goonj Uthi Shehnai (1959) opposite Asha Parekh, who was making her debut as a heroine. A few days later, the director fired Parekh claiming she wasn't star material and replaced her with Ameeta, who cut her fee in half to secure the role. Soon, Nasir Hussain cast Parekh in Dil Deke Dekho (1959), which made her a huge star. Kumar was cast opposite her in Gharana (1961), and this ...                    
See more

                    »
        ",,,"

5' 8"" (1.73 m)        ","

            Rajender Kumar | Rajinder Kumar | Rajendrakumar
        "
121," Rajat Kapoor
",https://www.imdb.com/name/nm0438494,"
    Rajat Kapoor was born on February 11, 1961 in New Delhi, India. He is an actor and director, known for Raghu Romeo (2003), Ankhon Dekhi (2013) and Bheja Fry (2007).            
See full bio »
            
","
February 11, 
     
1961","https://m.media-amazon.com/images/M/MV5BNDBlM2ZiZmEtYzYyMC00ZWNlLTkxMzQtOGFlMzgxZDg5NjdhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR18,0,214,317_AL__QL50.jpg",,,"

Aquarius
","

    Brother is stand up comic Rajneesh Kapoor.        ",,,,
122," Ranbir Kapoor
",https://www.imdb.com/name/nm1633541,"
    Son of Rishi Kapoor and Neetu Singh; nephew of actors Randhir Kapoor, Rajiv Kapoor, Kunal Kapoor. Grandnephew of actors Shashi Kapoor, Jennifer Kendal, Shammi Kapoor, Geeta Bali; cousin of actresses Kareena Kapoor, Karisma Kapoor. Belongs to the fourth generation of highly prestigious and considered to be the first family of Bollywood (Hindi film ...            
See full bio »
            
","
September 28, 
     
1982","https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","

    TV Commercial for Pepsi India.                    
See more

                    »
        ","

            Dabbu
        ","

Libra
","

    His favorite movies are It's a Wonderful Life (1946), Shree 420 (1955), Dilwale Dulhania Le Jayenge (1995), La vita è bella (1997), Mr. India (1987), The Lord of the Rings: The Fellowship of the Ring (2001), The Lord of the Rings: The Two Towers (2002), The Lord of the Rings: The Return of the King (2003), Singin' in the Rain (1952), Masoom (1983), Dil Chahta Hai (2001), Eternal Sunshine ...                    
See more

                    »
        ",,,,"

            Ranbhir Kapoor
        "
123," Raghuvir Yadav
",https://www.imdb.com/name/nm0944834,"
    Raghuvir Yadav was born on June 25, 1957 in Jabalpur, Madhya Pradesh, India. He is known for his work on Dil Se.. (1998), Lagaan: Once Upon a Time in India (2001) and Peepli (Live) (2010).            
See full bio »
            
","
June 25, 
     
1957","https://m.media-amazon.com/images/M/MV5BNTIzOWZhMjctNTBkMi00YTc0LThhOGYtMDFlZmI4ZmNkZTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    First wife name is Poornima. He had a son named Achal with her. Achal is now a music composer. From his second marriage to actress Roshni Achreja, he has a son named Abir. Roshni was previously married to actor Sanjay Mishra.                    
See more

                    »
        ",,,,"

            Ragbubir Yadav | Raghubir Yadav | Raghuveer Yadav | Rhaghuvir Yadav | Rhagubir Yadav | Raghuvir Yadhav
        "
124," Rajkummar Rao
",https://www.imdb.com/name/nm3822770,"
    Raj Kumar is also known as Rajkummar Rao. He was born in Gurgaon. He finished his schooling in Gurgaon and graduated in Arts from Delhi University. He was simultaneously doing theatre with Kshitij Repertory and SRC in Delhi. He is an Acting graduate from Pune's Film and Television Institute of India. Raj Kumar's debut film was Dibakar Banerjee's ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,,"

    Starred in the shelved film ""Kane and Abel"" Directed by Hansal Mehta.                    
See more

                    »
        ",,,"

5' 7"" (1.7 m)        ","

            Raj Kumar | Raj Kumar Yadav
        "
125," Revathy
",https://www.imdb.com/name/nm0720763,"
    Revathy was born on July 8, 1966 in Kochi, Kerala, India as Asha Kelunni. She is an actress and director, known for Thevar Magan (1992), Kizhakku Vasal (1990) and Man Vasanai (1983). She was previously married to Menon, Suresh.            
See full bio »
            
","
July 8, 
     
1966","https://m.media-amazon.com/images/M/MV5BZjc4NTAwMmQtMWQyMS00NGU4LWEzNmYtZTMyODJhOGZjMGRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    When she was in school, she took part in a fashion show. Group photos were taken during the show and a photo was chosen to be the cover of a popular Tamil magazine. This happened to be her photo, which was seen by the director Bharathiraja, who, at that time was on the lookout for a new heroine for his latest venture.                    
See more

                    »
        ",,,,"

            Revathi Menon | Revathy Menon | Revathi
        "
126," Raaj Kumar
",https://www.imdb.com/name/nm0474855,"
    Raaj Kumar was born on October 8, 1926 in Loralai, Baluchistan, British India as Kulbhushan Pandit. He is known for his work on Kaajal (1965), Waqt (1965) and Dil Ek Mandir (1963). He died on July 3, 1996 in Mumbai, Maharashtra, India.            
See full bio »
            
","
October 8, 
     
1926","https://m.media-amazon.com/images/M/MV5BZjNlMTdhYjYtODI0My00OTA2LTlkM2QtMGU5N2RhNWVlMWVjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",,"

            Jaani
        ","

Libra
","

    Father of Puru Rajkumar.                    
See more

                    »
        ",,,,"

            Raj Kumar
        "
127," Ramya Krishnan
",https://www.imdb.com/name/nm0471447,"
    Ramya Krishnan was born on September 15, 1970 in Madras, Tamil Nadu, India. She is an actress, known for Bãhubali: The Beginning (2015), Baahubali 2: The Conclusion (2017) and Padaiyappa (1999). She has been married to Krishna Vamsi since July 11, 2003. They have one child.            
See full bio »
            
","
September 15, 
     
1970","https://m.media-amazon.com/images/M/MV5BZThmMmJlZGQtZDgyMy00YmIyLTk1NDQtMGQ0N2EzYzUxMWNiXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,,"

Virgo
","

    Wed director 'Krishna Vamsi' in 2003 after meeting on set.        ",,,"

5' 4"" (1.63 m)        ","

            Ramya Krishna | Ramiya Krishnan | Ramyah Krishnan | Ramyah | Ramyakrishnan | Ramya
        "
128," Rajinikanth
",https://www.imdb.com/name/nm0707425,"
    Rajinikanth has been a megastar in the Tamil movie industry since the 70s. He is one of the highest earning actors in Asia. Primarily starring in Tamil movies, he has also worked in Hindi, Telugu, Kannada, and American movies. He was born in Bangalore (India), and was employed as a bus conductor before he joined the Madras Film Institute. He made ...            
See full bio »
            
","
December 12, 
     
1950","https://m.media-amazon.com/images/M/MV5BMTA3MDcyNzkxMjZeQTJeQWpwZ15BbWU3MDUxMTU4Njg@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,"

            Superstar
                
See more

                »
        ","

Sagittarius
","

    Father of Aishwarya Dhanush.                    
See more

                    »
        ","

    Known for his uniquely stylized ways of dialogue delivery, performance, gestures, mannerisms, tricks, etc                    
See more

                    »
        ","

    Meditation is the key to his energy.                    
See more

                    »
        ","

5' 7"" (1.7 m)        ","

            Rajanikanth | 'SuperStar' RajiniKanth | Rajinikant | Rajnikanth | Rajnikant
        "
129," Rani Mukerji
",https://www.imdb.com/name/nm0611552,"
    Mukerji comes from a film-oriented family of Bengali origin. Her father, Ram Mukherjee, is a retired director and one of the founders of ""Filmalaya Studios"". Her mother, Krishna Mukherjee, was a playback singer. Her brother, Raj Mukherjee is a film producer, now turned director. Her maternal aunt, Debashree Roy, was a Bengali-film actress and her ...            
See full bio »
            
","
March 21, 
     
1978","https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Aries
","

    In 2005, she worked with the biggest production houses and banners: Black, Bunty aur Babli and The Rising. These three movies were amongst the top ten grosser of the year. Paheli, while only moderately successful, was India's official entry to the 2006 Oscars.                    
See more

                    »
        ","

    Husky voice                    
See more

                    »
        ","

    To be honest, when the media gets very curious about my personal life, I get a little worried because too much curiosity is not good for anybody's health.                    
See more

                    »
        ","

5' (1.52 m)        ","

            Rani Mukherje | Rani Mukherjee | Rani Mukherji | Ranee
        "
130," Ranveer Singh
",https://www.imdb.com/name/nm3828984,"
    Ranveer Singh is an Indian actor working in Bollywood. Born in Mumbai, India, Ranveer Singh had always wanted to be an actor since his childhood. However, during his college days he felt that the idea of acting was far-fetched and focused on creative writing. While pursuing his Bachelor of Arts degree from Indiana University (Bloomington), Singh ...            
See full bio »
            
","
July 6, 
     
1985","https://m.media-amazon.com/images/M/MV5BMTExOTcwMDU4NTReQTJeQWpwZ15BbWU3MDA0MjE1MTc@._V1_UY317_CR1,0,214,317_AL__QL50.jpg","

    TV Commercial for Royal Stag.        ",,"

Cancer
","

    He Appears in the end of the movie teefa in trouble as a photograph , ali zafar's film who co starred with him in Kill DIll.                    
See more

                    »
        ",,"

    Everything was so bleak. It was very frustrating. There were times I would think whether I was doing the right thing or not.                    
See more

                    »
        ","

5' 8"" (1.73 m)        ",
131," Rishi Kapoor
",https://www.imdb.com/name/nm0438501,"
    Born in south Mumbai, Kapoor is the second son of film director and actor Raj Kapoor. He did his schooling with his brothers at Campion School,Mumbai. His brothers are well-known actors, Randhir Kapoor and Rajiv Kapoor. Rishi Kapoor debuted in his father's 1970 film Mera Naam Joker, playing his father's role as a child. Rishi Kapoor had his first ...            
See full bio »
            
","
September 4, 
     
1952","https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",,"

            Chintoo
        ","

Virgo
","

    Nephew of actor/ politician Vicky Kapoor ( Har Har Mahadev). Vicky is brother director Vijay Kapoor and son of Trilok Kapoor.                    
See more

                    »
        ",,"

    I landed in Bobby by default. There was a misconception that the film was made to launch me as an actor. The film was actually made to pay the debts of Mera Naam Joker. Dad wanted to make a love story and he did not have money to cast superstar Rajesh Khanna in the film.So story was converted to a teenage love story and I was cast.        ","

5' 5¼"" (1.65 m)        ",
